lat,lon
7.206499999999999773e+01,2.519399999999999906e+01
7.206699999999999307e+01,2.520200000000000173e+01
7.206799999999999784e+01,2.520700000000000074e+01
7.206900000000000261e+01,2.521099999999999852e+01
7.206999999999999318e+01,2.521600000000000108e+01
7.207099999999999795e+01,2.521999999999999886e+01
7.207200000000000273e+01,2.522400000000000020e+01
7.207299999999999329e+01,2.522899999999999920e+01
7.207500000000000284e+01,2.523699999999999832e+01
7.207800000000000296e+01,2.525000000000000000e+01
7.207999999999999829e+01,2.525900000000000034e+01
7.208100000000000307e+01,2.526300000000000168e+01
7.208299999999999841e+01,2.527199999999999847e+01
7.208499999999999375e+01,2.528000000000000114e+01
7.208599999999999852e+01,2.528500000000000014e+01
7.208700000000000330e+01,2.528900000000000148e+01
7.208799999999999386e+01,2.529299999999999926e+01
7.209000000000000341e+01,2.530199999999999960e+01
7.209199999999999875e+01,2.530999999999999872e+01
7.209300000000000352e+01,2.531500000000000128e+01
7.209399999999999409e+01,2.531899999999999906e+01
7.209499999999999886e+01,2.532300000000000040e+01
7.209600000000000364e+01,2.532799999999999940e+01
7.209699999999999420e+01,2.533200000000000074e+01
7.209799999999999898e+01,2.533599999999999852e+01
7.209999999999999432e+01,2.534499999999999886e+01
7.210099999999999909e+01,2.534900000000000020e+01
7.210299999999999443e+01,2.535800000000000054e+01
7.210500000000000398e+01,2.536700000000000088e+01
7.210599999999999454e+01,2.537099999999999866e+01
7.210800000000000409e+01,2.537999999999999901e+01
7.210999999999999943e+01,2.538800000000000168e+01
7.211100000000000421e+01,2.539300000000000068e+01
7.211199999999999477e+01,2.539699999999999847e+01
7.211299999999999955e+01,2.540200000000000102e+01
7.211499999999999488e+01,2.541000000000000014e+01
7.211599999999999966e+01,2.541400000000000148e+01
7.211899999999999977e+01,2.542699999999999960e+01
7.212300000000000466e+01,2.544500000000000028e+01
7.212399999999999523e+01,2.544900000000000162e+01
7.212699999999999534e+01,2.546199999999999974e+01
7.212800000000000011e+01,2.546600000000000108e+01
7.212999999999999545e+01,2.547500000000000142e+01
7.213100000000000023e+01,2.547899999999999920e+01
7.213400000000000034e+01,2.549200000000000088e+01
7.213599999999999568e+01,2.550100000000000122e+01
7.213700000000000045e+01,2.550499999999999901e+01
7.213899999999999579e+01,2.551399999999999935e+01
7.214000000000000057e+01,2.551800000000000068e+01
7.214199999999999591e+01,2.552700000000000102e+01
7.214300000000000068e+01,2.553099999999999881e+01
7.214400000000000546e+01,2.553500000000000014e+01
7.214600000000000080e+01,2.554400000000000048e+01
7.214700000000000557e+01,2.554899999999999949e+01
