lat,lon,thick,dist,cumdist
7.160924627083333860e+01,-1.520131797731481527e+02,2.074500000000000011e+00,1.998952959875655910e+00,1.657831507787611258e+02
7.160888224999999352e+01,-1.519562107222222380e+02,2.159100000000000019e+00,1.998991141571409669e+00,1.677821419203325490e+02
7.160851822916666265e+01,-1.518992416712962950e+02,2.110399999999999832e+00,1.999029324792160667e+00,1.697811712451247104e+02
7.160815420833333178e+01,-1.518422726203703803e+02,2.165599999999999969e+00,1.999067507283592171e+00,1.717802387524083088e+02
7.160779018750000091e+01,-1.517853035694444372e+02,2.120600000000000041e+00,1.999105691299932097e+00,1.737793444437082542e+02
7.160742616666667004e+01,-1.517283345185185226e+02,2.120600000000000041e+00,1.999143874586950531e+00,1.757784883182952171e+02
7.160706214583333917e+01,-1.516713654675926080e+02,2.038400000000000212e+00,1.999182059398788125e+00,1.777776703776939939e+02
7.160669812499999409e+01,-1.516143964166666649e+02,2.053999999999999826e+00,1.999220238973188790e+00,1.797768906166671741e+02
7.160633410416666322e+01,-1.515574273657407502e+02,2.053999999999999826e+00,1.999258420072492548e+00,1.817761490367396675e+02
7.160597008333333235e+01,-1.515004583148148072e+02,2.103800000000000114e+00,1.999296602696611913e+00,1.837754456394362705e+02
7.160560606250000149e+01,-1.514434892638888925e+02,2.103800000000000114e+00,1.999334786845460288e+00,1.857747804262817226e+02
7.160524204166667062e+01,-1.513865202129629779e+02,2.164299999999999891e+00,1.999372968011180696e+00,1.877741533942929095e+02
7.160487802083333975e+01,-1.513295511620370348e+02,2.179699999999999971e+00,1.999411150701627449e+00,1.897735645449945423e+02
7.160451399999999467e+01,-1.512725821111111202e+02,2.120600000000000041e+00,1.999449332662914358e+00,1.917730138776574620e+02
7.160414997916666380e+01,-1.512156130601851771e+02,2.214300000000000157e+00,1.999487513895083168e+00,1.937725013915525381e+02
7.160378595833333293e+01,-1.511586440092592625e+02,1.929799999999999960e+00,1.999525696651888174e+00,1.957720270882044247e+02
7.160342193750000206e+01,-1.511016749583333478e+02,1.929799999999999960e+00,1.999563878679572637e+00,1.977715909668839913e+02
7.160305791666667119e+01,-1.510447059074074048e+02,1.970699999999999896e+00,1.999602062231804700e+00,1.997711930291158069e+02
7.160269389583332611e+01,-1.509877368564814901e+02,1.970699999999999896e+00,1.999640242801330903e+00,2.017708332719171267e+02
7.160232987499999524e+01,-1.509307678055555471e+02,1.811299999999999910e+00,1.999678422641861797e+00,2.037705116945589907e+02
7.160196585416666437e+01,-1.508737987546296324e+02,1.762299999999999978e+00,1.999716604006936294e+00,2.057702282985659394e+02
7.160160183333333350e+01,-1.508168297037037178e+02,1.762299999999999978e+00,1.999754789149921441e+00,2.077699830877158718e+02
7.160123781250000263e+01,-1.507598606527777747e+02,1.804000000000000048e+00,1.999792969056956249e+00,2.097697760567728267e+02
7.160087379166667176e+01,-1.507028916018518601e+02,1.824899999999999967e+00,1.999831150488445175e+00,2.117696072072612594e+02
7.160050977083332668e+01,-1.506459225509259170e+02,1.737800000000000011e+00,1.999869331190975430e+00,2.137694765384522384e+02
7.160014574999999581e+01,-1.505889535000000024e+02,1.737800000000000011e+00,1.999907511164588758e+00,2.157693840496168320e+02
7.159978172916666495e+01,-1.505319844490740877e+02,1.815499999999999892e+00,1.999945694915805428e+00,2.177693297445326266e+02
7.159941770833333408e+01,-1.504750153981481446e+02,1.815499999999999892e+00,1.999983875684820500e+00,2.197693136202174458e+02
7.159905368750000321e+01,-1.504180463472222300e+02,1.666700000000000070e+00,2.000022055724958392e+00,2.217693356759424148e+02
7.159868966666667234e+01,-1.503610772962962869e+02,1.787500000000000089e+00,2.000060237289370324e+00,2.237693959132317900e+02
7.159832564583332726e+01,-1.503041082453703723e+02,1.727400000000000047e+00,2.000098415871835567e+00,2.257694943291036225e+02
