lat,lon,thick,dist,cumdist
7.702797099999999375e+01,2.720063599999999937e+01,5.705000000000000071e-01,7.169349594456176256e+00,1.552915547894839165e+03
7.706850400000000434e+01,2.729373400000000061e+01,1.163399999999999990e+00,5.069217695317250971e+00,1.557984765590156485e+03
7.710900499999999624e+01,2.738742200000000082e+01,1.163399999999999990e+00,5.069504653908293967e+00,1.563054270244064810e+03
7.704753300000000138e+01,2.747443200000000019e+01,2.036700000000000177e+00,7.169603345986905296e+00,1.570223873590051653e+03
7.708796700000000612e+01,2.756853699999999918e+01,1.756199999999999983e+00,5.069385433079954595e+00,1.575293259023131668e+03
7.712836900000000639e+01,2.766323799999999977e+01,1.756199999999999983e+00,5.069743281817234326e+00,1.580363002304948850e+03
7.706680199999999559e+01,2.774905599999999950e+01,1.756199999999999983e+00,7.169866702282396531e+00,1.587532869007231284e+03
7.710713599999999701e+01,2.784416999999999831e+01,1.756199999999999983e+00,5.069583934678092874e+00,1.592602452941909405e+03
7.714743699999999649e+01,2.793988600000000133e+01,1.756199999999999983e+00,5.069915256192667030e+00,1.597672368198102049e+03
7.708577599999999563e+01,2.802450100000000077e+01,1.756199999999999983e+00,7.170148565458793755e+00,1.604842516763560752e+03
7.712600799999999879e+01,2.812062500000000043e+01,1.756199999999999983e+00,5.069705396147859311e+00,1.609912222159708563e+03
7.716620699999999999e+01,2.821735599999999877e+01,7.346000000000000307e-01,5.070098024681557902e+00,1.614982320184390119e+03
7.710445400000000404e+01,2.830075599999999980e+01,1.756199999999999983e+00,7.170336575346778041e+00,1.622152656759736828e+03
7.714458299999999724e+01,2.839789100000000133e+01,7.346000000000000307e-01,5.069850046736120497e+00,1.627222506806472893e+03
7.718467900000000270e+01,2.849563900000000061e+01,7.346000000000000307e-01,5.070316430024520926e+00,1.632292823236497497e+03
7.712283399999999745e+01,2.857781299999999902e+01,5.010999999999999899e-01,7.170652168226657963e+00,1.639463475404724250e+03
7.716285899999999742e+01,2.867595899999999887e+01,3.941000000000000059e-01,5.070007814955847181e+00,1.644533483219680193e+03
7.720284999999999798e+01,2.877472500000000011e+01,3.941000000000000059e-01,5.070463214836620658e+00,1.649603946434516729e+03
7.714091500000000678e+01,2.885566100000000134e+01,7.890000000000000346e-01,7.170876643803438810e+00,1.656774823078320196e+03
7.718083500000000186e+01,2.895482099999999903e+01,3.941000000000000059e-01,5.070215998669231006e+00,1.661845039076989451e+03
7.722072000000000003e+01,2.905460400000000121e+01,3.941000000000000059e-01,5.070614245259998931e+00,1.666915653322249455e+03
7.726056900000000383e+01,2.915501700000000085e+01,3.941000000000000059e-01,5.070971005765603223e+00,1.671986624328015068e+03
7.719850999999999885e+01,2.923446500000000015e+01,7.890000000000000346e-01,7.171623536737330440e+00,1.679158247864752411e+03
7.723828699999999969e+01,2.933526700000000176e+01,-1.218999999999999945e-01,5.070709947049948596e+00,1.684228957811802275e+03
7.727802800000000616e+01,2.943670399999999887e+01,1.743000000000000105e-01,5.071132271413142156e+00,1.689300090083215309e+03
7.760077400000000125e+01,2.979759100000000061e+01,1.460399999999999920e+00,3.693337729612125031e+01,1.726233467379336616e+03
7.764035800000000620e+01,2.990352199999999883e+01,1.460399999999999920e+00,5.074480431539738490e+00,1.731307947810876385e+03
7.767990399999999340e+01,3.001013800000000131e+01,1.460399999999999920e+00,5.074970535573354091e+00,1.736382918346449742e+03
7.771940999999999633e+01,3.011744500000000002e+01,9.673000000000000487e-01,5.075308386658241133e+00,1.741458226733107949e+03
7.830035399999999868e+01,3.100239200000000039e+01,1.843900000000000095e+00,6.775352860381376274e+01,1.809211755336921669e+03
7.823764400000000308e+01,3.107903999999999911e+01,1.864900000000000002e+00,7.185118713315080896e+00,1.816396874050236647e+03
7.817491900000000271e+01,3.115486900000000148e+01,1.864900000000000002e+00,7.184457562108209849e+00,1.823581331612344911e+03
7.821399300000000210e+01,3.127055800000000119e+01,1.864900000000000002e+00,5.079786203616516893e+00,1.828661117815961461e+03
7.815121899999999755e+01,3.134521399999999858e+01,1.864900000000000002e+00,7.184197609138724516e+00,1.835845315425100125e+03
7.819021200000000249e+01,3.146130300000000091e+01,1.864900000000000002e+00,5.079537798172159668e+00,1.840924853223272294e+03
7.812739100000000292e+01,3.153479199999999949e+01,1.864900000000000002e+00,7.183812569990258190e+00,1.848108665793262617e+03
7.816630299999999920e+01,3.165127299999999977e+01,1.864900000000000002e+00,5.079283594244428102e+00,1.853187949387506933e+03
7.810343500000000461e+01,3.172360300000000066e+01,1.864900000000000002e+00,7.183528366074247273e+00,1.860371477753581075e+03
7.814226700000000392e+01,3.184046999999999983e+01,1.864900000000000002e+00,5.079140739237043789e+00,1.865450618492818194e+03
7.807935299999999756e+01,3.191164799999999957e+01,1.700099999999999945e+00,7.183230612216466859e+00,1.872633849105034642e+03
7.811810300000000495e+01,3.202889400000000109e+01,1.864900000000000002e+00,5.078812536785585863e+00,1.877712661641820205e+03
7.805514399999999853e+01,3.209892700000000332e+01,1.427799999999999958e+00,7.182918439077503159e+00,1.884895580080897616e+03
7.809381399999999473e+01,3.221654600000000102e+01,1.864900000000000002e+00,5.078687647177454245e+00,1.889974267728075120e+03
